experiment,f1_mean,f1_std,flip_rate_mean,flip_rate_std,prob_gap_mean,prob_gap_std,pair_accuracy_mean,pair_accuracy_std,strict_flip_rate_mean,strict_flip_rate_std,strict_prob_gap_mean,strict_prob_gap_std,strict_pair_accuracy_mean,strict_pair_accuracy_std,pair_count_mean,strict_pair_count_mean,train_valid_cf_count_mean,train_valid_cf_ratio_mean,cons_batch_ratio_mean,avg_valid_cf_per_batch_mean,lambda_mean,effective_lambda_mean,fpr_min_group_n_mean,fpr_gap_mean,fpr_gap_std
Strict-Matched,0.789,0.0057,0.0212,0.0055,0.0186,0.0018,0.8242,0.0088,0.02,0.0086,0.0177,0.0016,0.8286,0.0099,455,350,5964,0.0346,0.8954,2.2171,0.1297,0.0045,3,0.6273,0.1614
Strict_lam=0.25,0.7898,0.0046,0.0242,0.0058,0.0163,0.0017,0.83,0.0067,0.0229,0.0057,0.0148,0.0014,0.8381,0.0135,455,350,5964,0.0346,0.8954,2.2171,0.25,0.0087,3,0.6273,0.1614
