experiment,f1_mean,f1_std,flip_rate_mean,flip_rate_std,prob_gap_mean,prob_gap_std,pair_accuracy_mean,pair_accuracy_std,strict_flip_rate_mean,strict_flip_rate_std,strict_prob_gap_mean,strict_prob_gap_std,strict_pair_accuracy_mean,strict_pair_accuracy_std,pair_count_mean,strict_pair_count_mean,train_valid_cf_count_mean,train_valid_cf_ratio_mean,cons_batch_ratio_mean,avg_valid_cf_per_batch_mean,lambda_mean,effective_lambda_mean,fpr_min_group_n_mean,fpr_gap_mean,fpr_gap_std
Strict-Matched,0.7911,0.0048,0.0249,0.0046,0.0207,0.0025,0.8227,0.0083,0.021,0.0016,0.0185,0.0014,0.8276,0.0141,455,350,5964,0.0346,0.8954,2.2171,0.1297,0.0045,3,0.7083,0.0361
Strict_lam=0.05,0.7917,0.0042,0.0271,0.0102,0.0231,0.0031,0.8293,0.0099,0.0219,0.0119,0.0221,0.002,0.8352,0.0144,455,350,5964,0.0346,0.8954,2.2171,0.05,0.0017,3,0.3111,0.1325
